keyphrase	tfidf	dispersion	cscore	keyword
d	c	c	c	d
m				class
medwell	0.000391978400656	0.0000000000	0.0	False
provide ample power	0.00117593520197	0.0000000000	1.58496250072	False
peripherals connected	0.000783956801311	0.0000000000	1.0	False
number of the loco	0.0	0.0000000000	2.0	False
saved	0.000175098807239	0.0000000000	0.0	False
circuit breaker	0.000783956801311	0.0000000000	1.0	False
halted due to emergency	0.0	0.0000000000	2.0	False
passenger has to press	0.0	0.0000000000	4.0	False
diminishes the economic	0.00117593520197	0.0000000000	1.58496250072	False
core units	0.000783956801311	0.0000000000	1.0	False
collected resources	0.000783956801311	0.0000000000	1.0	False
honourable prime minister	0.00117593520197	0.0000000000	1.58496250072	False
proposed system comprises	0.00117593520197	0.0000000000	1.58496250072	False
updated	0.00010527917291	0.0000000000	0.0	False
train is halted due	0.0	0.0000000000	2.0	False
unit the stop	0.00117593520197	0.0000000000	1.58496250072	False
handling	0.000391978400656	0.0000000000	0.0	False
2502-4752	0.00235187040393	0.6666666667	0.0	False
railways made	0.000783956801311	0.0000000000	1.0	False
vast	0.000350197614478	0.0000000000	0.0	False
school	4.82323779184e-05	0.0000000000	0.0	False
skills	0.000783956801311	0.0000000000	0.0	False
method and problems	0.00117593520197	0.0000000000	1.58496250072	False
solution	0.000210558345821	0.0000000000	0.0	False
viable	0.000783956801311	0.0000000000	0.0	False
units coordinate and make	0.0	0.0000000000	2.0	False
budaraju	0.00117593520197	0.5714285714	0.0	False
saved by making	0.00117593520197	0.0000000000	1.58496250072	False
network connectivity	0.00156791360262	0.0000000000	2.0	False
pranksters derail	0.000783956801311	0.0000000000	1.0	False
railways is undergoing	0.00117593520197	0.0000000000	1.58496250072	False
estimated	0.000175098807239	0.0000000000	0.0	False
complexities	0.000391978400656	0.0000000000	0.0	False
ijeecs issn	0.00235187040393	0.0000000000	3.0	False
information about the air	0.0	0.0000000000	2.0	False
robot using wireless	0.00117593520197	0.0000000000	1.58496250072	False
major drawbacks	0.000783956801311	0.0000000000	1.0	False
system in the trains	0.0	0.0000000000	2.0	False
reported	0.00053022394267	0.0000000000	0.0	False
crucial data	0.000783956801311	0.0000000000	1.0	False
active	0.000391978400656	0.0000000000	0.0	False
notice a loss	0.00117593520197	0.0000000000	1.58496250072	False
lever at the brake	0.0	0.0000000000	2.0	False
