keyphrase	tfidf	dispersion	cscore	keyword
d	c	c	c	d
m				class
feedback model in order	0.0	0.0000000000	2.0	False
euclidean distance between anchors	0.0	0.0000000000	2.0	False
generated when users	0.00123622910911	0.0000000000	1.58496250072	False
maintenance of the rss	0.0	0.0000000000	2.0	False
first four	0.0	0.0000000000	1.0	False
arbitrary user	0.000685189792224	0.0000000000	1.0	False
reliable as system anchors	0.0	0.0000000000	2.0	False
rss measurement generated	0.00123622910911	0.0000000000	1.58496250072	False
locations	2.44366113891e-05	0.0000000000	0.0	False
fingerprinting-based indoor positioning system	0.0	0.0000000000	2.0	False
user believes	0.00164830547882	0.0000000000	2.0	False
robust user feedback model	0.0	0.0000000000	2.0	False
two similarity	0.0	0.0000000000	1.0	False
two minutes	0.0	0.0000000000	1.0	False
results of our preliminary	0.0	0.0000000000	2.0	False
normal distribution	0.000362527821006	0.0000000000	1.0	False
consists	7.01029968885e-05	0.0000000000	0.0	False
aspect for refinement	0.00123622910911	0.0000000000	1.58496250072	False
approach to the vertex	0.0	0.0000000000	2.0	False
en-2027 en-2038	0.000824152739409	0.0000000000	1.0	False
found in many public	0.0	0.0000000000	2.0	False
articles freely	0.000824152739409	0.0000000000	1.0	False
complex indoor office environment	0.0	0.0000000000	2.0	False
producing	0.000171709963049	0.0000000000	0.0	False
ubiquitous positioning	0.000464938731946	0.0000000000	1.0	False
terms of wi-fi	0.00123622910911	0.0000000000	1.58496250072	False
advantage of the knowledge	0.0	0.0000000000	2.0	False
reasonable to deduce	0.00123622910911	0.0000000000	1.58496250072	False
wireless ethernet	0.000362527821006	0.0000000000	1.0	False
rss data or large	0.0	0.0000000000	2.0	False
number is small	0.00123622910911	0.0000000000	1.58496250072	False
model will depend	0.00123622910911	0.0000000000	1.58496250072	False
interference to future	0.00123622910911	0.0000000000	1.58496250072	False
neglected in the training	0.0	0.0000000000	2.0	False
created	0.000670694621463	0.4588235294	0.0	False
fine-grained	0.000134150475334	0.0000000000	0.0	False
position could be arbitrary	0.0	0.0000000000	2.0	False
grid resolution	0.000824152739409	0.0000000000	1.0	False
assumption	7.80542656373e-05	0.0000000000	0.0	False
scanned rss	0.000824152739409	0.0000000000	1.0	False
anchors asi	0.000824152739409	0.0000000000	1.0	False
point based	0.000685189792224	0.0000000000	1.0	False
lead to a cumulative	0.0	0.0000000000	2.0	False
