keyphrase	tfidf	dispersion	cscore	keyword
d	c	c	c	d
m				class
cited article	0.000452788834557	0.0000000000	2.0	False
differential equations	0.000452788834557	0.0000000000	1.0	False
completely different documents	0.000679183251836	0.0000000000	1.58496250072	False
include keywords	0.000452788834557	0.0000000000	1.0	False
searchable	0.000226394417279	0.0000000000	0.0	False
limited	0.000143712371294	0.0000000000	0.0	False
wide variation	0.000452788834557	0.0000000000	1.0	False
significance of citeseer	0.000679183251836	0.0000000000	1.58496250072	False
cedures	0.000226394417279	0.0000000000	0.0	False
entropy	0.000226394417279	0.0000000000	0.0	False
characters which may occur	0.0	0.0000000000	2.0	False
theory and application	0.000386674946634	0.0000000000	1.58496250072	False
semantic	0.000156944402387	0.4489164087	0.0	False
mixtures submitted	0.000452788834557	0.0000000000	1.0	False
index can provide	0.000679183251836	0.0000000000	1.58496250072	False
requiring no manual	0.000679183251836	0.0000000000	1.58496250072	False
feedback indexed articles	0.000679183251836	0.0000000000	1.58496250072	False
poorly	0.000226394417279	0.0000000000	0.0	False
relationships	3.13888804775e-05	0.0000000000	0.0	False
indexes academic literature	0.000679183251836	0.0000000000	1.58496250072	False
work on the web	0.0	0.0000000000	2.0	False
word stem values	0.000679183251836	0.0000000000	1.58496250072	False
citation indexing	0.00452788834557	0.3766233766	10.0	False
calculate	0.000143712371294	0.0000000000	0.0	False
mailin	0.000226394417279	0.0000000000	0.0	False
optimal weighted matching	0.000679183251836	0.0000000000	1.58496250072	False
distance between documents	0.000679183251836	0.0000000000	1.58496250072	False
information could be extracted	0.0	0.0000000000	2.0	False
similarity	0.000564999848594	0.1717105263	0.0	False
visual communlcntmns	0.000452788834557	0.0000000000	1.0	False
set ofjournals or restricted	0.0	0.0000000000	2.0	False
author or other-s	0.000679183251836	0.0000000000	1.58496250072	False
permission to make	0.000679183251836	0.0000000000	1.58496250072	False
solving linear	0.000452788834557	0.0000000000	1.0	False
up-to-date databases	0.000452788834557	0.0000000000	1.0	False
salton and chris buckley	0.0	0.0000000000	2.0	False
two authors	0.0	0.0000000000	1.0	False
cnn help to find	0.0	0.0000000000	2.0	False
rhetoricfirst	0.000226394417279	0.0000000000	0.0	False
natural language	6.27777609549e-05	0.0000000000	1.0	False
similar document	0.000905577669115	0.0000000000	3.0	False
stem s is fds	0.0	0.0000000000	2.0	False
